t,bpm
1361,178
1362,178
1363,177
1364,177
1365,178
1366,179
1367,179
1368,179
1369,180
1370,180
1371,181
1372,181
1373,179
1374,178
1375,178
1376,178
1377,179
1378,178
1379,178
1380,178
1381,177
1382,178
1383,178
1384,181
1385,180
1386,180
1387,179
1388,178
1389,178
1390,179
1391,177
1392,176
1393,176
1394,176
1395,176
1396,175
1397,176
1398,176
1399,176
1400,176
1401,176
1402,176
1403,177
1404,177
1405,177
1406,176
1407,177
1408,177
1409,177
1410,176
1411,177
1412,177
1413,176
1414,177
1415,177
1416,178
1417,176
1418,177
1419,177
1420,178
1421,178
1422,178
1423,177
1424,177
1425,175
1426,174
1427,174
1428,174
1429,173
1430,172
1431,172
1432,173
1433,172
1434,172
1435,172
1436,171
1437,171
1438,170
1439,168
1440,167
1441,166
1442,166
1443,165
1444,165
1445,164
1446,164
1447,164
1448,163
1449,161
1450,161
1451,160
1452,159
1453,157
1454,156
1455,155
1456,154
1457,154
1458,153
1459,152
1460,150
1461,150
1462,149
1463,150
1464,150
1465,151
1466,151
1467,151
1468,150
1469,149
1470,149
1471,150
1472,149
1473,149
1474,149
1475,148
1476,148
1477,148
1478,147
1479,146
1480,146
1481,145
1482,144
1483,144
1484,143
1485,143
1486,143
1487,143
1488,143
1489,142
1490,143
1491,145
1492,146
1493,146
1494,146
1495,145
1496,146
1497,147
1498,148
1499,148
1500,149
1501,150
1502,149
1503,150
1504,151
1505,151
1506,151
1507,151
1508,151
1509,152
1510,153
1511,153
1512,153
1513,153
1514,153
1515,154
1516,155
1517,155
1518,156
1519,157
1520,157
1521,156
1522,156
1523,156
1524,156
1525,157
1526,156
1527,156
1528,157
1529,158
1530,159
1531,159
1532,158
1533,157
1534,160
1535,161
1536,162
1537,162
1538,161
1539,160
1540,161
1541,161
1542,161
1543,161
1544,161
1545,162
1546,163
1547,163
1548,165
1549,166
1550,165
1551,164
1552,165
1553,164
1554,164
1555,164
1556,164
1557,165
1558,165
1559,166
1560,164
1561,164
1562,164
1563,164
1564,163
1565,163
1566,164
1567,164
1568,164
1569,163
1570,163
1571,164
1572,165
1573,165
1574,164
1575,165
1576,164
